fecha,tipoTran,id_cliente,descripcion_titulo,moneda,simbolo_titulo,cantidad,precio,id_transaccion,origen,fecha_ts_utc,fecha_ts_local,fecha_particion,_ingested_at
2026-01-06T17:33:33.000Z,Venta,c86eb1d642b3ea7a4f90e45750811145,Bono Rep. Argentina Usd Step Up 2030,ARS,AL30,2105,1000.1945,TXN62gdswm31yiha,App Mobile,2026-01-06T17:33:33.000Z,2026-01-06T14:33:33.000Z,2026-01-06,2026-03-20T23:05:25.696Z
2026-01-06T07:22:29.000Z,Compra,a3747c389767df7879a3b24921808ffe,Cedear Philip Morris International,ARS,PM,1,13460.3922,TXNx1oxrwk8r2ykc,App Mobile,2026-01-06T07:22:29.000Z,2026-01-06T04:22:29.000Z,2026-01-06,2026-03-20T23:05:25.696Z
2026-01-06T14:02:43.000Z,Compra,a2fccf8d47bb759a7a38a1632e096f9e,TITULOS DE DEUDA PUBLICA CLASE N° 23 A TASA VARIABLE CON VENCIMIENTO EN 2028,ARS,BDC28,716,1.1086,TXNmv30qabxw2eow,App Mobile,2026-01-06T14:02:43.000Z,2026-01-06T11:02:43.000Z,2026-01-06,2026-03-20T23:05:25.696Z
2026-01-06T23:45:49.000Z,Compra,912c4050f050654559dcd34f193ddc60,On Irsa Inver Y Rep C18 V28/02/27 U$S Cg,ARS,IRCJO,2,1567.6100,TXNyozdppbquakx6,Sitio Web Desktop,2026-01-06T23:45:49.000Z,2026-01-06T20:45:49.000Z,2026-01-06,2026-03-20T23:05:25.696Z
2026-01-06T06:31:31.000Z,Compra,ef885c7ae2429dc36fc2f6d411fb31d7,Cedear Coinbase Global Inc.,ARS,COIN,2,14753.9272,TXN811id07t3ljok,App Mobile,2026-01-06T06:31:31.000Z,2026-01-06T03:31:31.000Z,2026-01-06,2026-03-20T23:05:25.696Z
2026-01-06T13:34:29.000Z,Compra,e1ff98fb0319457ebea52b1d16b2ffaa,Cedear Mercadolibre Inc.,ARS,MELI,13,28416.8546,TXNx55pb4w6c8hs2,App Mobile,2026-01-06T13:34:29.000Z,2026-01-06T10:34:29.000Z,2026-01-06,2026-03-20T23:05:25.696Z
2026-01-06T17:47:10.000Z,Compra,c083d9bef2b96e783713b7f80c1ad6ea,BONCAP 13F6 VTO 13/02/2026,ARS,T13F6,98221,1.4027,TXNnj8pl3m871nge,Sitio Web Desktop,2026-01-06T17:47:10.000Z,2026-01-06T14:47:10.000Z,2026-01-06,2026-03-20T23:05:25.696Z
2026-01-06T08:35:44.000Z,Venta,a3e153aac0e139dc4663594a365a0d72,Sociedad Comercial del Plata,ARS,COME,1,61.1126,TXN1kt7ga8sr6yht,App Mobile,2026-01-06T08:35:44.000Z,2026-01-06T05:35:44.000Z,2026-01-06,2026-03-20T23:05:25.696Z
2026-01-07T00:36:28.000Z,Compra,7d8e82ca3f808b60a105a67a1df1a985,BONOS REP. ARG. U$S 1% STEP UP V09/07/29,ARS,GD29,2,1097.2734,TXNxfzjdcy98qhsf,App Mobile,2026-01-07T00:36:28.000Z,2026-01-06T21:36:28.000Z,2026-01-06,2026-03-20T23:05:25.696Z
2026-01-06T19:23:59.000Z,Venta,936297dc4fb38b8e1cdf1e0f52d99c43,Cedear Hp Inc.,ARS,HPQ,56,33457.5663,TXNmeagwp82h6sgl,Sitio Web Desktop,2026-01-06T19:23:59.000Z,2026-01-06T16:23:59.000Z,2026-01-06,2026-03-20T23:05:25.696Z
